Timestamp,City,name,lat,lon,co,dew,h,no2,o3,p,pm10,pm25,r,so2,t,w,time
2025-02-19 18:11:46,Ayutthaya,"Ayutthaya Witthayalai School, Ayutthaya, Thailand (โรงเรียนอยุธยาวิทยาลัย)",14.35222,100.565325,0.1,-5.9,9.5,3.5,5.2,1008.4,64.0,74.0,0.5,0.6,29.6,2.5,2025-02-20 00:00:00
2025-02-19 18:11:47,Uttaradit,"72nd Anniversary King Bhumibol Public Park, Uttaradit, Thailand (สวนมหามงคลเฉลิมพระชนมพรรษา 6 รอบ 5 ธันวาคม 2552 อุตรดิตถ์)",17.631352,100.09896,,21.7,81.9,3.5,14.2,1002.5,51.0,120.0,,0.6,23.0,1.0,2025-02-19 12:00:00
2025-02-19 18:11:47,Rayong,Rayong,12.707434,101.1473517,0.1,,8.7,11.0,16.6,1005.2,37.0,90.0,0.9,2.2,28.7,1.0,2025-02-20 00:00:00
2025-02-19 18:11:48,Pathum Thani,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",14.03742,100.605216,0.1,22.0,55.0,6.4,13.4,1009.0,63.0,123.0,,1.1,32.0,1.5,2025-02-20 00:00:00
2025-02-19 18:11:49,Chonburi,"General Education Office, Chonburi, Thailand (สำนักงานสามัญศึกษาชลบุรี)",13.35461667,100.9792167,,-6.3,8.9,9.3,6.0,1006.7,33.0,73.0,0.6,1.1,30.2,2.5,2025-02-20 00:00:00
2025-02-19 18:11:50,Nakhon Pathom,"Mueang, Nakhon Pathom, Thailand (ต.นครปฐม อ.เมือง จ.นครปฐม)",13.832076,100.057961,,-6.3,8.2,,6.0,1007.9,23.0,68.0,,9.0,31.6,2.0,2025-02-20 00:00:00
2025-02-19 18:11:51,Ratchaburi,"Regional Environmental Office 8, Thailand (สำนักงานสิ่งแวดล้อมภาคที่ 8 ราชบุรี)",13.5234,99.814082,0.1,-6.3,8.2,2.9,13.8,1007.9,25.0,85.0,,0.6,31.6,2.0,2025-02-20 00:00:00
2025-02-19 18:11:51,Phuket,"Municipal Health Center 1, Phuket, Thailand (ศูนย์บริการสาธารณสุข 1 กองการแพทย์ เทศบาลนครภูเก็ต)",7.884488,98.391283,0.1,-5.2,8.2,4.7,,1006.5,,41.0,2.0,0.6,33.2,1.5,2025-02-20 00:00:00
2025-02-19 18:11:52,Yala,"White Elephant Park, Yala, Thailand (สนามโรงพิธีช้างเผือก ยะลา)",6.546205,101.283137,,-6.7,8.7,,,1004.7,,45.0,,,30.1,3.0,2025-02-20 00:00:00
2025-02-19 18:11:53,Krabi,"Pak Nam, Mueang Krabi, Krabi, Thailand (ต.ปากน้ำ อ.เมืองกระบี่ จ.กระบี่)",8.059199,98.918138,,25.0,70.0,,,1008.0,,42.0,,,31.0,3.0,2022-06-21 18:00:00
2025-02-19 18:11:54,Trang,"Polytechnic College, Trang, Thailand (วิทยาลัยสารพัดช่างตรัง)",7.570238,99.588743,0.1,20.3,47.3,0.6,14.6,1005.4,15.0,35.0,,0.6,32.0,5.1,2025-02-20 00:00:00
2025-02-19 18:11:54,Satun,"Phiman, Satun, Satun, Thailand (ต.พิมาน อ.เมือง จ.สตูล)",6.624747,100.066159,0.1,-6.0,8.3,1.8,6.4,1004.6,21.0,41.0,,0.6,31.9,2.0,2025-02-20 00:00:00
2025-02-19 18:11:55,Pattani,"Rusamilae, Mueang, Pattani, Thailand (ต.รูสะมิแล อ.เมือง จ.ปัตตานี)",6.8732,101.22251,0.1,-7.5,8.1,4.1,4.0,1004.2,30.0,44.0,99.2,1.1,30.2,2.0,2024-05-28 16:00:00
2025-02-19 18:11:55,Narathiwat,"City Hall, Narathiwat, Thailand (ศาลากลางจังหวัดนราธิวาส)",6.426853,101.823388,,-7.4,8.7,,,1007.7,,45.0,99.4,,29.2,2.5,2025-02-20 00:00:00
2025-02-19 18:11:56,Prachuap Khiri Khan,"Prachuap Khiri Khan - Gaia Station 10, Thailand",11.80027,99.790596,,-7.4,8.7,,,1009.2,11.1,36.1,,,29.2,3.6,2025-02-20 01:00:00
2025-02-19 18:11:56,Saraburi,"Khao Noi Fire Station, Saraburi, Thailand (สถานีดับเพลิงเขาน้อย)",14.526343,100.926047,0.1,,62.5,9.8,4.4,1008.2,50.0,86.0,,0.6,29.7,0.5,2025-02-20 00:00:00
2025-02-20 12:00:13,Samut Prakan,"City Hall, Samut Prakan, Thailand (ศาลากลางจังหวัดสมุทรปราการ)",13.599149,100.597345,0.1,23.6,68.6,9.3,13.4,1013.5,55.0,82.0,0.6,0.6,30.0,1.5,2025-02-20 18:00:00
2025-02-20 12:00:14,Nakhon Ratchasima,"Municipal Waste Water Pumping Station, Nakhon Ratchasima, Thailand (สถานีสูบน้ำเสีย เทศบาลนครราชสีมา)",14.979537,102.098335,,21.4,72.7,2.9,19.0,994.1,,85.0,0.2,0.6,26.7,2.0,2025-02-20 18:00:00
2025-02-20 12:00:14,Surin,"Pyramid House, Surin, Thailand",14.793612,103.43056,,19.0,60.2,,,999.0,,,,,27.4,1.0,
2025-02-20 12:00:15,Sakon Nakhon,"Meteorological stations, Sakon Nakhon, Thailand (สถานีอุตุนิยมวิทยาสกลนคร)",17.15662,104.133216,0.1,16.1,54.8,,17.4,994.7,43.0,68.0,,1.1,25.9,1.0,2025-02-20 18:00:00
