station_code,station_name,latitude,longitude,basin,sub_basin,tambon,amphoe,province,station_type_telem,start_datetime,end_datetime,agency_name,sponsor_by
MOU020,หน่วยจัดการต้นน้ำแม่ทะลบหลวง,19.68675,99.22051,โขงเหนือ,น้ำแม่ฝาง,แม่ทะลบ,ไชยปราการ,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU021,สถานีพัฒนาการเกษตรที่สูง ฯ ภูพยัคฆ์,19.504732,101.213745,น่าน,แม่น้ำน่านตอนบน,ขุนน่าน,เฉลิมพระเกียรติ,น่าน,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU022,หน่วยจัดการต้นน้ำแม่พริก (หน่วยย่อย ปางหลวง),19.48251,99.586685,โขงเหนือ,น้ำแม่ลาวส่วนที่ 1,ท่าก๊อ,แม่สรวย,เชียงราย,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU023,หน่วยจัดการต้นน้ำขุนน้ำพริก,19.457697,100.65635,น่าน,ห้วยน้ำยาว (1),ชนแดน,สองแคว,น่าน,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU024,หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำน้ำม่าว,19.14955,100.23981,ยม,แม่น้ำยมตอนบนส่วนที่ 2,ปง,ปง,พะเยา,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU025,สะพานแม่น้ำน่าน บ้านเปียงก่อ,19.43208,101.152725,น่าน,แม่น้ำน่านตอนบน,ขุนน่าน,เฉลิมพระเกียรติ,น่าน,W,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU026,ที่ทำการอุทยานแห่งชาติถ้ำสะเกิน,19.383793,100.53891,ยม,แม่น้ำยมตอนบนส่วนที่ 1,ยอด,สองแคว,น่าน,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU027,สะพานน้ำยาว บ้านสองแคว,19.35672,100.70647,น่าน,ห้วยน้ำยาว (1),นาไร่หลวง,สองแคว,น่าน,W,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU028,หน่วยจัดการต้นน้ำขุนน่าน,19.348192,101.1751,น่าน,แม่น้ำน่านตอนบน,บ่อเกลือเหนือ,บ่อเกลือ,น่าน,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU029,หน่วยพิทักษ์อุทยานแห่งชาติที่ ศล.๕ (แม่ระงอง),19.32973,99.13403,ปิง,น้ำแม่งัด,น้ำแพร่,พร้าว,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU030,หน่วยจัดการต้นน้ำน้ำกอนฝั่งซ้าย,19.310799,101.01174,น่าน,แม่น้ำน่านตอนบน,พญาแก้ว,เชียงกลาง,น่าน,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU031,ที่ทำการเขตรักษาพันธุ์สัตว์ป่าดอยผาช้าง,19.30203,100.40965,ยม,แม่น้ำยมตอนบนส่วนที่ 1,งิม,ปง,พะเยา,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU032,สะพานน้ำกอน บ้านพญาแก้ว,19.286186,100.901245,น่าน,แม่น้ำน่านตอนบน,พญาแก้ว,เชียงกลาง,น่าน,W,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU033,สะพานแม่น้ำว้า บ้านบ่อหยวก,19.270342,101.17807,น่าน,น้ำว้า,บ่อเกลือเหนือ,บ่อเกลือ,น่าน,W,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU034,หน่วยจัดการต้นน้ำขุนว้า,19.236814,101.18389,น่าน,น้ำว้า,ดงพญา,บ่อเกลือ,น่าน,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU035,สะพานน้ำขว้าง บ้านร้องแง,19.175928,100.92984,น่าน,แม่น้ำน่านตอนบน,วรนคร,ปัว,น่าน,W,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU036,สถาบันนวัตกรรมด้านป่าไม้ จังหวัดแพร่,18.13955,100.13376,ยม,แม่น้ำยมตอนกลางส่วนที่ 2,ในเวียง,เมืองแพร่,แพร่,R,2020-03-19 00:00:00,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU037,หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำน้ำคาง (ดอยวาว),19.138962,100.640915,ยม,แม่น้ำควน,ศรีภูมิ,ท่าวังผา,น่าน,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU038,สะพานห้วยน้ำสาย,19.026342,100.73505,น่าน,แม่น้ำน่านส่วนที่ 2/1,ตาลชุม,ท่าวังผา,น่าน,W,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU039,หน่วยจัดการต้นน้ำแม่หยอด,18.831062,98.10256,ปิง,น้ำแม่แจ่มตอนบน,แม่ศึก,แม่แจ่ม,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU040,ที่ทำการอุทยานแห่งชาติดอยภูนาง,18.856346,100.1822,ยม,แม่น้ำยมตอนบนส่วนที่ 3,บ้านมาง,เชียงม่วน,พะเยา,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU041,ที่ทำการอุทยานแห่งชาติแจ้ซ้อน,18.836437,99.47019,วัง,แม่น้ำสวย,แจ้ซ้อน,เมืองปาน,ลำปาง,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU042,หน่วยจัดการต้นน้ำแม่จริม,18.804169,101.0354,น่าน,น้ำว้า,แม่จริม,แม่จริม,น่าน,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU043,หน่วยพิทักษ์อุทยานแห่งชาติที่ มย.๖ (นาฝาย),18.776993,100.30109,ยม,แม่น้ำยมตอนบนส่วนที่ 3,สะเอียบ,สอง,แพร่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU044,หน่วยจัดการต้นน้ำแม่ขะนิง,18.752836,100.54118,น่าน,น้ำสา,แม่ขะนิง,เวียงสา,น่าน,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU045,สะพานน้ำว้า บ้านน้ำว้า,18.643225,101.010826,น่าน,น้ำว้า,น้ำพาง,แม่จริม,น่าน,W,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU046,ที่ทำการอุทยานแห่งชาติถ้ำผาไท,18.603567,99.9006,ยม,แม่น้ำงาว,บ้านหวด,งาว,ลำปาง,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU047,หน่วยพิทักษ์อุทยานแห่งชาติที่ มร. ๑ (ห้วยเต่า),18.58667,101.06919,น่าน,น้ำว้า,น้ำพาง,แม่จริม,น่าน,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU048,สะพานห้วยแม่ถาบ้านปาหุ่ง,18.584383,100.50959,น่าน,น้ำสา,ยาบหัวนา,เวียงสา,น่าน,W,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU049,ที่ทำการเขตรักษาพันธุ์สัตว์ป่าสาละวิน,18.308104,97.852234,สาละวิน,แม่น้ำยวมตอนล่างส่วนที่ 1,บ้านกาศ,แม่สะเรียง,แม่ฮ่องสอน,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU050,หน่วยจัดการต้นน้ำแม่กลาง,18.53316,98.52241,ปิง,น้ำแม่กลาง,บ้านหลวง,จอมทอง,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
