feature,Major,Peripheral
h_lag1,-0.10812134593388661,-0.18034906163697503
h_lag2,-0.21448846709049874,-0.02414724762426411
h_lag3,0.05976421801796117,0.0697852728293295
h_lag4,0.057528391373774856,-0.32985900858940226
o3_lag1,0.9058854135428105,-1.0740622231382293
o3_lag2,0.8105404706718033,-2.538537294243225
o3_lag3,1.1235954245334636,-1.5315274376602603
o3_lag4,-0.4410528769460155,-3.5581815448641234
p_lag1,-0.33478167157487804,1.5612717268683067
p_lag2,-1.303407808602436,-1.4141887956772339
p_lag3,-0.4960530824241075,0.49427399445694054
p_lag4,1.1054240600230756,1.4838857803019951
pm10_lag1,0.18563433049357542,0.17931789677098042
pm10_lag2,-0.2922157982877063,0.21913897030746485
pm10_lag3,-0.31592877349742243,-0.38361714052765766
pm10_lag4,-0.261708786267565,-0.8068291307731157
pm25_lag1,0.37896778153968785,0.5710075721119854
pm25_lag2,0.09946005121594045,0.08581295972672562
pm25_lag3,0.06342241679965635,0.15781737500418008
pm25_lag4,0.022604087977457915,0.1447132183567291
r_lag1,0.0384065704151943,-0.25357428906934165
r_lag2,0.11822622055683502,0.0689219873165777
r_lag3,-0.11765797872913536,0.09204505415947166
r_lag4,-0.11848896920169966,-0.018445765908253576
t_lag1,-2.553169293060063,-0.057078667285395464
t_lag2,-3.482445042004052,-2.7871863862891377
t_lag3,-1.7231385847526823,0.9241996751584511
t_lag4,2.1114859741612175,0.20220594532059605
w_lag1,-0.6162497541108003,0.49089127841081176
w_lag2,-1.3020372996104002,-0.028675717579228873
w_lag3,-5.58444265321142,1.8426077736145205
w_lag4,2.0155507043769285,1.7717085576906766
